SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_36_length_29851_cov_18.263323	11831	12232	+	fosX	1-402/402	===============	0/0	100	100	ncbi	NG_055654.1	fosfomycin resistance thiol transferase FosX	FOSFOMYCIN
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_4_length_140319_cov_20.094021	52580	54151	-	lmo0919_fam	1-1572/1572	===============	0/0	100	94.66	ncbi	NG_050599.1	lincomycin resistance ABC-F type ribosomal protection protein	LINCOSAMIDE
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_26_length_29740_cov_22.714821	11720	12121	+	fosX	1-402/402	===============	0/0	100	100	ncbi	NG_055654.1	fosfomycin resistance thiol transferase FosX	FOSFOMYCIN
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_9_length_117707_cov_25.343383	67011	68582	+	lmo0919_fam	1-1572/1572	===============	0/0	100	94.66	ncbi	NG_050599.1	lincomycin resistance ABC-F type ribosomal protection protein	LINCOSAMIDE
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	SPAdes_output/SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_108657_cov_29.826315	40136	41707	-	lmo0919_fam	1-1572/1572	===============	0/0	100	94.66	ncbi	NG_050599.1	lincomycin resistance ABC-F type ribosomal protection protein	LINCOSAMIDE
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	SPAdes_output/SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_22_length_27267_cov_27.282461	17620	18021	-	fosX	1-402/402	===============	0/0	100	100	ncbi	NG_055654.1	fosfomycin resistance thiol transferase FosX	FOSFOMYCIN
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
