SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	95.395	46580	0.0	74118	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	96.245	33186	0.0	54338	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	95.688	28245	0.0	45399	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	94.469	27137	0.0	41783	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	95.766	14715	0.0	23712	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	95.843	14217	0.0	22977	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	94.911	4166	0.0	6519	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	96.021	3192	0.0	5184	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	85.401	411	4.43e-116	422	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_181540_cov_29.172435	NC_003210.1	73.902	410	1.78e-35	154	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_174011_cov_19.846156	NC_003210.1	94.737	82407	0.0	1.281e+05	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_174011_cov_19.846156	NC_003210.1	94.274	58083	0.0	88754	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_174011_cov_19.846156	NC_003210.1	92.306	14518	0.0	20580	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_174011_cov_19.846156	NC_003210.1	96.314	9387	0.0	15413	NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome
